file_name,recording_id,speaker_id,language,target_variety,set,content_id,content_type,story_id,difficulty_rank,transcription,duration_seconds,sample_rate_hz,channels,device,noise_condition,date_recorded,consent_confirmed,consent_date,source_file,split_method,version,notes
audio/sw-en_setA_spk-sw-001_sw-ls-001.wav,v0-sw-0001,spk-sw-001,sw,Congolese Swahili (specific regional variety unconfirmed),setA,sw-ls-001,syllable,,1,ma,1.921,16000,1,unknown,unreviewed,,no,,A_sylables.mp4,"silence midpoint (-35 dB, 0.6 s minimum)",v0,Publication blocked until consent and missing provenance fields are confirmed.
audio/sw-en_setA_spk-sw-001_sw-ls-002.wav,v0-sw-0002,spk-sw-001,sw,Congolese Swahili (specific regional variety unconfirmed),setA,sw-ls-002,syllable,,2,me,1.518,16000,1,unknown,unreviewed,,no,,A_sylables.mp4,"silence midpoint (-35 dB, 0.6 s minimum)",v0,Publication blocked until consent and missing provenance fields are confirmed.
audio/sw-en_setA_spk-sw-001_sw-ls-003.wav,v0-sw-0003,spk-sw-001,sw,Congolese Swahili (specific regional variety unconfirmed),setA,sw-ls-003,syllable,,3,mi,1.429,16000,1,unknown,unreviewed,,no,,A_sylables.mp4,"silence midpoint (-35 dB, 0.6 s minimum)",v0,Publication blocked until consent and missing provenance fields are confirmed.
audio/sw-en_setA_spk-sw-001_sw-ls-004.wav,v0-sw-0004,spk-sw-001,sw,Congolese Swahili (specific regional variety unconfirmed),setA,sw-ls-004,syllable,,4,mo,1.416,16000,1,unknown,unreviewed,,no,,A_sylables.mp4,"silence midpoint (-35 dB, 0.6 s minimum)",v0,Publication blocked until consent and missing provenance fields are confirmed.
audio/sw-en_setA_spk-sw-001_sw-ls-005.wav,v0-sw-0005,spk-sw-001,sw,Congolese Swahili (specific regional variety unconfirmed),setA,sw-ls-005,syllable,,5,mu,1.423,16000,1,unknown,unreviewed,,no,,A_sylables.mp4,"silence midpoint (-35 dB, 0.6 s minimum)",v0,Publication blocked until consent and missing provenance fields are confirmed.
audio/sw-en_setA_spk-sw-001_sw-ls-006.wav,v0-sw-0006,spk-sw-001,sw,Congolese Swahili (specific regional variety unconfirmed),setA,sw-ls-006,syllable,,6,na,1.321,16000,1,unknown,unreviewed,,no,,A_sylables.mp4,"silence midpoint (-35 dB, 0.6 s minimum)",v0,Publication blocked until consent and missing provenance fields are confirmed.
audio/sw-en_setA_spk-sw-001_sw-ls-007.wav,v0-sw-0007,spk-sw-001,sw,Congolese Swahili (specific regional variety unconfirmed),setA,sw-ls-007,syllable,,7,ne,1.629,16000,1,unknown,unreviewed,,no,,A_sylables.mp4,"silence midpoint (-35 dB, 0.6 s minimum)",v0,Publication blocked until consent and missing provenance fields are confirmed.
audio/sw-en_setA_spk-sw-001_sw-ls-008.wav,v0-sw-0008,spk-sw-001,sw,Congolese Swahili (specific regional variety unconfirmed),setA,sw-ls-008,syllable,,8,ni,1.462,16000,1,unknown,unreviewed,,no,,A_sylables.mp4,"silence midpoint (-35 dB, 0.6 s minimum)",v0,Publication blocked until consent and missing provenance fields are confirmed.
audio/sw-en_setA_spk-sw-001_sw-ls-009.wav,v0-sw-0009,spk-sw-001,sw,Congolese Swahili (specific regional variety unconfirmed),setA,sw-ls-009,syllable,,9,no,1.471,16000,1,unknown,unreviewed,,no,,A_sylables.mp4,"silence midpoint (-35 dB, 0.6 s minimum)",v0,Publication blocked until consent and missing provenance fields are confirmed.
audio/sw-en_setA_spk-sw-001_sw-ls-010.wav,v0-sw-0010,spk-sw-001,sw,Congolese Swahili (specific regional variety unconfirmed),setA,sw-ls-010,syllable,,10,nu,1.687,16000,1,unknown,unreviewed,,no,,A_sylables.mp4,"silence midpoint (-35 dB, 0.6 s minimum)",v0,Publication blocked until consent and missing provenance fields are confirmed.
