act_id,language_pair,matrix_language,category,tarl_level,audience,function_reminder,max_words,text_draft,switch_points,register_note,review_decision,normalized_decision,corrected_text,final_text,text_status,suspected_encoding_damage,source_file
instr-start-beginner-001,sw-en,Swahili,instruction,beginner,child,Ask the child to look at the letter shown and say its sound.,12,"Tazama herufi hii. Sasa, say the sound unayoiona!","Tazama herufi hii. Sasa, [[say the sound]] unayoiona!","Keep the tone playful and inviting, like a gentle nudge from a friendly teacher, so the child feels safe to try without fear of being wrong.",keep,keep,,"Tazama herufi hii. Sasa, say the sound unayoiona!",reviewed,no,data/scaffolding/sw-en.csv
instr-start-letter-syllable-001,sw-en,Swahili,instruction,letter_syllable,child,Ask the child to read the syllable shown aloud.,10,Sawa! Hebu sasa read silabi hii kwa sauti.,Sawa! Hebu sasa [[read]] silabi hii kwa sauti.,"Keep it bright and inviting — a gentle nudge, not a command, so the child feels safe to try.",fix,fix,Hebu sasa soma syllable hii kwa sauti.,Hebu sasa soma syllable hii kwa sauti.,reviewed,no,data/scaffolding/sw-en.csv
instr-start-word-001,sw-en,Swahili,instruction,word,child,Ask the child to read the word shown aloud.,10,"Sawa, hebu usome neno hili kwa sauti!","[[Sawa]], hebu usome neno hili kwa sauti!","Bright and encouraging — the short ""Sawa"" opener mimics how a warm classroom teacher signals a fresh start without pressure.",keep,keep,,"Sawa, hebu usome neno hili kwa sauti!",reviewed,no,data/scaffolding/sw-en.csv
instr-start-paragraph-001,sw-en,Swahili,instruction,paragraph,child,"Ask the child to read the paragraph aloud, at their own pace.",12,"Sawa, sasa soma kifungu hiki kwa sauti, pole pole.","[[Sawa]], sasa soma kifungu hiki kwa sauti, pole pole.","Warm and unhurried, reassuring the child there is no rush — ""pole pole"" signals safety and calm.",keep,keep,,"Sawa, sasa soma kifungu hiki kwa sauti, pole pole.",reviewed,no,data/scaffolding/sw-en.csv
instr-start-story-001,sw-en,Swahili,instruction,story,child,Ask the child to read the story aloud from the beginning.,12,Sawa! Sasa read hadithi hii kwa sauti kuanzia mwanzo.,Sawa! Sasa [[read]] hadithi hii kwa sauti kuanzia mwanzo.,"Warm and encouraging, using a light exclamation to signal a fresh, exciting start — never commanding or exam-like.",keep,keep,,Sawa! Sasa read hadithi hii kwa sauti kuanzia mwanzo.,reviewed,no,data/scaffolding/sw-en.csv
instr-comprehension-001,sw-en,Swahili,instruction,story,child,Ask a simple comprehension question about the story just read.,14,"Vizuri sana! Sasa niambie, hadithi hii ilikuwa inahusu nani?","[[Vizuri sana]]! Sasa niambie, hadithi hii ilikuwa inahusu nani?","Warm and encouraging, opening with praise before gently pivoting to a single, open-ended question so the child feels safe to answer.",fix,fix,"Great! Sasa niambie, hadithi hii ilikuwa inamhusu nani?","Great! Sasa niambie, hadithi hii ilikuwa inamhusu nani?",reviewed,no,data/scaffolding/sw-en.csv
instr-retry-001,sw-en,Swahili,instruction,any,child,Ask the child to try reading the same item one more time.,10,"Sawa, hebu jaribu tena. Try once more!","Sawa, hebu jaribu tena. [[Try once more!]]","Keep the tone gently encouraging and upbeat — the child should feel invited, not pressured, to have another go.",fix,fix,Hebu jaribu kuisoma tena. One more time!,Hebu jaribu kuisoma tena. One more time!,reviewed,no,data/scaffolding/sw-en.csv
instr-slow-down-001,sw-en,Swahili,instruction,any,child,Ask the child to slow down and read at a calmer pace.,10,"Pole pole, soma slowly usikimbie maneno!","Pole pole, soma [[slowly]] — usikimbie maneno!","Use a gentle, encouraging tone — not scolding — so the child feels guided rather than corrected.",fix,fix,"Soma polepole, take your time, usiache maneno.","Soma polepole, take your time, usiache maneno.",reviewed,no,data/scaffolding/sw-en.csv
instr-mic-check-001,sw-en,Swahili,instruction,any,child,Ask the child to hold the phone closer and speak clearly.,12,"Karibu simu karibu zaidi na mdomo wako, kisha sema wazi!","Karibu simu karibu zaidi na mdomo wako, kisha [[speak]] wazi!","Use a gentle, encouraging tone — like a kind teacher leaning in to help, not scolding the child for the audio problem.",fix,fix,"Shika simu karibu na mdomo, kisha sema kwa sauti.","Shika simu karibu na mdomo, kisha sema kwa sauti.",reviewed,no,data/scaffolding/sw-en.csv
instr-ready-check-001,sw-en,Swahili,instruction,any,child,Check that the child is ready before starting the next item.,8,"Uko tayari? Sawa, hebu tuanze!","Uko tayari? [[Sawa]], hebu tuanze!","Keep it bright and inviting — a quick, friendly nudge that feels like the start of a little adventure, not a test.",fix,fix,Uko ready? Twende!,Uko ready? Twende!,reviewed,no,data/scaffolding/sw-en.csv
